Bedrooms,Bathrooms,LivingSQFT,Age,DistToWH,LotSize,ListingType,Floors,CountySchool,Garage,Price
4,4,2986,66,7585.419309,0.25,Single Family,2,ARLINGTON COUNTY PUBLIC SCHOOLS,2,979900
2,3,2044,57,7888.268587,0.11,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,724999
4,2,2008,94,6322.96868,0.08,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,0,699999
6,6,3877,66,8346.11779,0.29,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1399900
5,3,1272,56,5952.253811,0.19,Single Family,2,ARLINGTON COUNTY PUBLIC SCHOOLS,1,799000
3,2,1830,72,8641.813036,0.16,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,1,689999
5,4,3718,0,7934.870092,0,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,1,1239900
4,3,2500,60,11019.28971,0.18,Single Family,2,ARLINGTON COUNTY PUBLIC SCHOOLS,1,934900
6,7,4964,3,9521.023147,0.18,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1599000
5,5,5200,4,7721.246122,0.22,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1325000
0,1,383,64,2862.509728,0.01,Condo/Townhome,1,ARLINGTON COUNTY PUBLIC SCHOOLS,1,142500
5,3,2837,79,4824.349578,0.19,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,1,1175000
4,3,2814,64,6078.959392,0.22,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1049000
4,3,2235,67,6870.044549,0.13,Single Family,2.5,ARLINGTON COUNTY PUBLIC SCHOOLS,4,869000
4,3,3030,69,7252.184874,0.2,Single Family,2,ARLINGTON COUNTY PUBLIC SCHOOLS,1,1089000
3,5,2962,23,3908.211176,0.04,Condo/Townhome,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1275000
5,6,3423,114,7192.944802,0.35,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,0,1155000
5,5,4800,62,4642.123901,0.13,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,4,1884000
5,5,4950,14,6425.700368,0.14,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,1689000
6,7,8000,7,9568.115564,0.45,Single Family,3,ARLINGTON COUNTY PUBLIC SCHOOLS,2,2649000
